sku,opc,queue_id,state_when_reported
982211343681,,,Awaiting OnBuy go-live (created earlier - listing not yet up
984617420171,PXJKMKQ,,Awaiting OnBuy go-live (created earlier - listing not yet up
698604772470,,,Awaiting OnBuy go-live (created earlier - listing not yet up
698909433267,,,Awaiting OnBuy go-live (created earlier - listing not yet up
699550973119,,,Awaiting OnBuy go-live (created earlier - listing not yet up
703123011372,,,Awaiting OnBuy go-live (created earlier - listing not yet up
708851387102,,,Awaiting OnBuy go-live (created earlier - listing not yet up
710289245572,,,Awaiting OnBuy go-live (created earlier - listing not yet up
712349796833,,,Awaiting OnBuy go-live (created earlier - listing not yet up
713586271046,,,Awaiting OnBuy go-live (created earlier - listing not yet up
714950615664,,,Awaiting OnBuy go-live (created earlier - listing not yet up
715666733697,,,Awaiting OnBuy go-live (created earlier - listing not yet up
717759482451,,,Awaiting OnBuy go-live (created earlier - listing not yet up
719011225950,,,Awaiting OnBuy go-live (created earlier - listing not yet up
722135457107,,,Awaiting OnBuy go-live (created earlier - listing not yet up
603463946627,PXPGH6X,,Awaiting OnBuy go-live (created earlier - listing not yet up
678936996898,PXMNJYB,,Awaiting OnBuy go-live (created earlier - listing not yet up
389238151556,PXPGH7B,,Awaiting OnBuy go-live (created earlier - listing not yet up
662599982725,PXPGH7M,,Awaiting OnBuy go-live (created earlier - listing not yet up
901229905575,PXMNJZW,,Awaiting OnBuy go-live (created earlier - listing not yet up
843534195824,PXVJPJW,,Awaiting OnBuy go-live (created earlier - listing not yet up
723500644832,PXP6J8C,,Awaiting OnBuy go-live (created earlier - listing not yet up
801111700946,PXK7M5H,,Awaiting OnBuy go-live (created earlier - listing not yet up
833669572485,PXP6J92,,Awaiting OnBuy go-live (created earlier - listing not yet up
677205810262,PXVHDQK,,Awaiting OnBuy go-live (created earlier - listing not yet up
439692261510,PXP6JFY,,Awaiting OnBuy go-live (created earlier - listing not yet up
377953688679,,,Awaiting OnBuy go-live (created earlier - listing not yet up
343687394773,PXP6KN2,,Awaiting OnBuy go-live (created earlier - listing not yet up
255281356906,PXP6KV6,,Awaiting OnBuy go-live (created earlier - listing not yet up
819726716566,PXP6KVW,,Synced
737229032955,PXP6KVZ,,Awaiting OnBuy go-live (created earlier - listing not yet up
209135205353,PXP6KW8,,Awaiting OnBuy go-live (created earlier - listing not yet up
714990257176,PXP6KZH,,Awaiting OnBuy go-live (created earlier - listing not yet up
178044686556,PXPD6HV,,Awaiting OnBuy go-live (created earlier - listing not yet up
244807722363,PXPD6K8,,Awaiting OnBuy go-live (created earlier - listing not yet up
185837679633,PXPPQVF,,Awaiting OnBuy go-live (created earlier - listing not yet up
193036826772,,,Awaiting OnBuy go-live (created earlier - listing not yet up
199062071469,,,Awaiting OnBuy go-live (created earlier - listing not yet up
209609110381,,,Awaiting OnBuy go-live (created earlier - listing not yet up
209690241469,,,Awaiting OnBuy go-live (created earlier - listing not yet up
211471179182,,,Awaiting OnBuy go-live (created earlier - listing not yet up
211562471447,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011294,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011300,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011317,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011324,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011331,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011362,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011379,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011386,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011393,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011409,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011416,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011423,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011447,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011461,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011478,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011492,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011607,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011638,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011676,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011829,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000011843,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000012178,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000012192,,,Awaiting OnBuy go-live (created earlier - listing not yet up
973000012260,,,Awaiting OnBuy go-live (created earlier - listing not yet up
749328404328,,,Awaiting OnBuy go-live (created earlier - listing not yet up
234377099828,,,Awaiting OnBuy go-live (created earlier - listing not yet up
263941596753,,,Awaiting OnBuy go-live (created earlier - listing not yet up
589436122857,,,Awaiting OnBuy go-live (created earlier - listing not yet up
392684175731,,,Awaiting OnBuy go-live (created earlier - listing not yet up
590873846220,,,Awaiting OnBuy go-live (created earlier - listing not yet up
176239845627,,,Awaiting OnBuy go-live (created earlier - listing not yet up
593481764214,,,Awaiting OnBuy go-live (created earlier - listing not yet up
624819357140,,,Awaiting OnBuy go-live (created earlier - listing not yet up
847163925081,,,Awaiting OnBuy go-live (created earlier - listing not yet up
572813460192,,,Awaiting OnBuy go-live (created earlier - listing not yet up
0195673842566,,,Awaiting OnBuy go-live (created earlier - listing not yet up
526794318409,,,Awaiting OnBuy go-live (created earlier - listing not yet up
181682661182,,,Awaiting OnBuy go-live (created earlier - listing not yet up
184077355406,,,Awaiting OnBuy go-live (created earlier - listing not yet up
204552571326,,,Awaiting OnBuy go-live (created earlier - listing not yet up
216942076007,,,Awaiting OnBuy go-live (created earlier - listing not yet up
236216728326,,,Awaiting OnBuy go-live (created earlier - listing not yet up
383460173423,,,Awaiting OnBuy go-live (created earlier - listing not yet up
401655029345,,,Awaiting OnBuy go-live (created earlier - listing not yet up
410889107125,,,Awaiting OnBuy go-live (created earlier - listing not yet up
411634072958,,,Awaiting OnBuy go-live (created earlier - listing not yet up
414436486442,,,Awaiting OnBuy go-live (created earlier - listing not yet up
414725578124,,,Awaiting OnBuy go-live (created earlier - listing not yet up
415564673506,,,Awaiting OnBuy go-live (created earlier - listing not yet up
422889993226,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103061903904,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103147084787,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103201763986,,,Synced
103233725143,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103308568828,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103372224163,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103433753311,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103458764446,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103568604403,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103617578938,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103644241669,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103692125768,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103781085157,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103873279815,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103885692695,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103982297526,,,Awaiting OnBuy go-live (created earlier - listing not yet up
103992793803,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104034286789,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104104669870,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104363209237,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104428410455,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104437585373,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104514458866,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104634319214,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104683741509,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104697993994,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104718783115,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104771756521,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104825946144,,,Awaiting OnBuy go-live (created earlier - listing not yet up
104904023957,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105105058526,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105113698448,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105160974113,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105194738149,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105226325323,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105305323509,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105367956523,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105372916314,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105462685182,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105480403072,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105535537219,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105575177451,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105575929722,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105651299305,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105872901223,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105879305529,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105905261621,,,Awaiting OnBuy go-live (created earlier - listing not yet up
105936249124,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106048918892,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106071200667,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106115852784,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106117005195,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106136792250,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106173442347,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106201321804,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106224771983,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106230262024,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106283323345,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106297115691,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106337815024,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106341492327,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106342470607,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106354517949,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106359963291,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106366351357,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106393375869,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106410246844,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106470756093,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106526318930,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106553714897,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106557676573,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106636188997,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106674895093,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106716662379,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106787493445,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106930889934,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106959653448,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106959796350,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106964155524,,,Awaiting OnBuy go-live (created earlier - listing not yet up
106979142847,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107114155425,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107115846841,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107165454997,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107188945953,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107223471249,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107259339100,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107359820232,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107456714267,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107534800950,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107605146178,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107611370918,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107660736420,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107730539463,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107748765786,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107789522782,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107796530343,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107799103483,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107812931703,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107891785655,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107953022001,,,Awaiting OnBuy go-live (created earlier - listing not yet up
107953410273,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108043604084,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108075434345,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108125109353,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108153541002,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108154979071,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108211992470,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108215109201,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108219154252,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108223318084,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108223774255,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108334899038,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108419435519,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108420726613,,,Awaiting OnBuy go-live (created earlier - listing not yet up
108463482132,,,Awaiting OnBuy go-live (created earlier - listing not yet up
