true_sku,onbuy_sku,opc,recorded
371763399077,0371763399077,PXB8YSP,2026-09-03
373157815767,0373157815767,PXB8YSZ,2026-09-03
385437040882,0385437040882,PXB8YT2,2026-09-03
386226016293,0386226016293,PXB8YTP,2026-09-03
409227715139,0409227715139,PXB8YVT,2026-09-03
423642203293,0423642203293,PXB8YW5,2026-09-03
429099498893,0429099498893,PXB8YVM,2026-09-03
437243552827,0437243552827,PXB8YW8,2026-09-03
440739877458,0440739877458,PXB8YWF,2026-09-03
447398001750,0447398001750,PXB8YWP,2026-09-03
455544668702,0455544668702,PXB8YWZ,2026-09-03
456050650823,0456050650823,PXB8YXD,2026-09-03
459282441092,0459282441092,PXB8YX7,2026-09-03
462416778773,0462416778773,PXB8YXB,2026-09-03
103560512478,0103560512478,PXCFPHK,2026-09-03
105425723807,0105425723807,PXCFPJX,2026-09-03
106603939386,0106603939386,PXCFPK2,2026-09-03
107245093528,0107245093528,PXCFPK9,2026-09-03
107352692126,0107352692126,PXCFPKN,2026-09-03
107509023490,0107509023490,PXCFPMD,2026-09-03
107921496629,0107921496629,PXCFPN7,2026-09-03
