sku,price,stock,condition,opc,gtin,date_last_created,product_title,suspended_reason,category,"brand ID","brand name",winning_price,"GPSR Compliance Status","GPSR Non-Compliance Reason(s)","GPSR Last Check"
109346246346,0.00,0,New,PXGGMFS,0109346246346,"2026-07-28 10:49:34","1000W Electric Portable Hand Held Steam Steamer Cleaner & Accessories 2025 New","Price below minimum",14049,1,Unbranded,,,,,
984118996960,0.00,0,New,PXJKMMJ,984118996960,"2026-07-31 19:29:34","PU Wheelbarrow Wheel 14 inch 3.50-8 Puncture Proof Solid Heavy Duty Tyre Black","Price below minimum",28906,420109,Cisivis,,,,,
984084984497,0.00,0,New,PXJKMMK,984084984497,"2026-07-31 19:29:34","Expandable Magic Hose Garden Hose Pipe Anti Kink With 7 Function Water Spray Gun","Price below minimum",13953,1,Unbranded,,,,,
986218551032,0.00,0,New,PXJKN79,986218551032,"2026-07-31 19:30:28","Oscillating Lawn Sprinkler Watering Garden Pipe Hose Water Flow with 19 Jets","Price below minimum",8252,1,Unbranded,,,,,
979872314860,0.00,0,New,PXJNJQ7,979872314860,"2026-08-01 02:27:59","Cool Work Clogs Beach Clog Ladies Womens Sandals ShoesWinter UK Size 3-4-5-6-7-8","Price below minimum",6125,1,Unbranded,,,,,
981808329671,0.00,0,New,PXJNKBS,981808329671,"2026-08-01 02:29:09","Portable Folding Charcoal BBQ Grill Picnic Travel Camping Outdoor Barbecue Grill","Price below minimum",13922,1,Unbranded,,,,,
982040715468,0.00,0,New,PXJNKBY,982040715468,"2026-08-01 02:29:12","Water Sprinkler Garden Lawn Rotating or Oscillating Sprayer Grass Lawn Watering","Price below minimum",8252,1,Unbranded,,,,,
986638437787,0.00,0,New,PXJPWHS,986638437787,"2026-08-01 03:43:01","42V 2A Battery Charger Adapter for 36V 3 Pin Plug Hoverboard Swegway Scooter","Price below minimum",8692,1,Unbranded,,,,,
986685242549,0.00,0,New,PXJPWPR,986685242549,"2026-08-01 03:43:11","Karcher Snow Foam Lance Gun K2-K7 Cannon Car Pressure Washer Washing Bottle 1L","Price below minimum",11461,1,Unbranded,,,,,
988093075559,0.00,0,New,PXJPYYW,988093075559,"2026-08-01 03:46:07","Hose Spray Gun Kit Adjustable Nozzles Mist Car Wash Watering 8 Function Garden","Price below minimum",14049,1,Unbranded,,,,,
988221196279,0.00,0,New,PXJPZ9P,988221196279,"2026-08-01 03:46:42","UK PU 14"" BLACK Puncture Proof Solid 3.50-8 wheelbarrow wheel COMPLETE NEW","Price below minimum",14078,1,Unbranded,,,,,
995119976394,0.00,0,New,PXJRBS6,995119976394,"2026-08-01 05:12:24","HiFi Speakers and Stereo Amplifier with Bluetooth USB 6"" Home Audio Music System","Price below minimum",11486,219555,Vonyx,,,,,
997607365949,0.00,0,New,PXJRBXP,997607365949,"2026-08-01 05:15:27","Fenton SHFB55B HiFi Bookshelf Speakers with Bluetooth & 5"" Amplifier Home Audio","Price below minimum",11486,31487,Fenton,,,,,
998543574976,0.00,0,New,PXJRCSH,998543574976,"2026-08-01 05:16:42","VONYX SL6 Speakers & AV340 Amplifier Mixer System with Microphone - DJ Ready","Price below minimum",17838,219555,Vonyx,,,,,
975804589528,0.00,0,New,PXK6QD9,975804589528,"2026-08-01 21:11:50","DAB+ FM Portable Radio Alarm Clock Bluetooth - Azatom Muliplex D20 Oak","Price below minimum",9336,230752,AZATOM,,,,,
481899689178,0.00,0,New,PXK7KRX,481899689178,"2026-08-01 22:50:24","AOC AGON U27G4R 27"" IPS Dual-Mode 4K at 160Hz Full HD at 320Hz Gaming Mon U27G4R","Price below minimum",11652,3348,AOC,,,,,
689486255977,0.00,0,New,PXK7KRY,689486255977,"2026-08-01 22:50:26","AOC Q27B36X 27"" IPS QHD 144Hz 0.5ms Gaming Monitor Q27B36X","Price below minimum",6539,3348,AOC,,,,,
601475774030,0.00,0,New,PXK7KSX,601475774030,"2026-08-01 22:51:57","LG UltraGear 27GS60QC 27"" VA QHD 180Hz 1ms Curved Gaming Monitor 27GS60QC-B.AEKQ","Price below minimum",16080,1399,LG,,,,,
419120291982,0.00,0,New,PXK7KSY,419120291982,"2026-08-01 22:52:11","Acer KB272P0 27"" VA Full HD 144Hz 1ms Monitor UM.HK2EE.018","Price below minimum",11628,2800,Acer,,,,,
812649153289,0.00,0,New,PXK7KT9,812649153289,"2026-08-01 22:52:54","Acer Nitro KG241YX3bip 24"" VA Full HD 200Hz 0.5MS Gaming Monitor UM.QX1EE.315","Price below minimum",6539,2800,Acer,,,,,
872422118409,0.00,0,New,PXK7KTC,872422118409,"2026-08-01 22:53:00","Entity Book Targa Intel Celeron 4GB RAM 128GB SSD 11.6 Inch Windows 11 22011101","Price below minimum",2721,25353,Entity,,,,,
680805175365,0.00,0,New,PXK7KW9,680805175365,"2026-08-01 22:54:06","Acer KA272 P6 27"" IPS Full HD 144Hz Monitor UM.HX2EE.605","Price below minimum",6539,2800,Acer,,,,,
650298828123,0.00,0,New,PXK7KY7,650298828123,"2026-08-01 22:54:27","Alienware AW2724DM 27"" IPS QHD 165Hz 1ms Gaming Monitor GAME-AW2724DM","Price below minimum",28793,65908,Alienware,,,,,
695817443128,0.00,0,New,PXK7KZQ,695817443128,"2026-08-01 22:55:19","Alienware AW2725DM 27"" IPS QHD 180Hz Gaming Monitor GAME-AW2725DM","Price below minimum",28793,65908,Alienware,,,,,
239972833310,0.00,0,New,PXK7M27,239972833310,"2026-08-01 22:55:52","2-Power USB-C DP1.2 Triple Display Mini Docking Station DOC0118A","Price below minimum",28793,3184,2-Power,,,,,
436855107135,0.00,0,New,PXK7M2P,436855107135,"2026-08-01 22:56:08","Dell Pro Wireless Keyboard and Mouse Combo Black KM5221WBKB-UK","Price below minimum",30882,1378,Dell,,,,,
690711152336,0.00,0,New,PXK7M52,690711152336,"2026-08-01 22:56:54","DrayTek V2763-K Vigor 2763 wired VDSL and Ethernet Router V2763-K","Price below minimum",8451,3179,Draytek,,,,,
275434002757,0.00,0,New,PXK7M5M,275434002757,"2026-08-01 22:57:26","HP B200 PC Mounting Bracket - Black 762T5AA","Price below minimum",8743,3575,"Hewlett Packard",,,,,
312943979023,0.00,0,New,PXM5PTY,0312943979023,"2026-08-03 11:51:13","HP OfficeJet Pro 8125e A4 Colour Multifunction Inkjet Printer with HP+ and 3","Price below minimum",15720,1393,HP,,,,,
334012089280,0.00,0,New,PXM5PWX,0334012089280,"2026-08-03 11:51:17","HP 320MK Wired Desktop Mouse and Keyboard Combo (For Business)","Price below minimum",8393,1393,HP,,,,,
341482933098,0.00,0,New,PXM5PWY,0341482933098,"2026-08-03 11:51:17","HyperX CloudX Stinger 2 Core Gaming Headsets Xbox White","Price below minimum",26830,1393,HP,,,,,
335024859946,0.00,0,New,PXM5PX5,0335024859946,"2026-08-03 11:51:18","HP Keyboard Wired 150","Price below minimum",8394,1393,HP,,,,,
727112987417,0.00,0,New,PXM5QPH,0727112987417,"2026-08-03 11:52:03","electriQ 60cm Dual Fuel Cooker - Black EQDFSC60BKv1","Price below minimum",13833,224195,Electriq,,,,,
897092461273,0.00,0,New,PXM5R89,0897092461273,"2026-08-03 11:52:38","Large Black Bread Bin For Kitchen Vintage Retro Metal Tin and Container with Lid","Price below minimum",13847,50200,"Andrew James",,,,,
903459726456,0.00,0,New,PXM5R8S,0903459726456,"2026-08-03 11:52:40","Milk Frothing Jug Latte Art Pitcher Barista Coffee Milk Jug Metal Steaming Cup","Price below minimum",22325,50200,"Andrew James",,,,,
924323038512,0.00,0,New,PXM5R9Z,0924323038512,"2026-08-03 11:52:43","12V Electric Cordless Grass Trimmer Strimmer Garden Edger Cutter with 2 Battery","Price below minimum",25134,420109,Cisivis,,,,,
928714306907,0.00,0,New,PXM5RBJ,0928714306907,"2026-08-03 11:52:44","15M Titanium Black Heat Wrap Tape Exhaust Insulating Downpipe Manifold + 10 Ties","Price below minimum",10714,1,Unbranded,,,,,
948131312008,0.00,0,New,PXM5RCH,0948131312008,"2026-08-03 11:52:46","1500W 125mm Electric Angle Grinder Cutting Grinding Sand Power Tool +7 Discs Kit","Price below minimum",18187,420109,Cisivis,,,,,
